date,Portfolio,ch,DBC.US,it,SHEL,CSSMI.SW,WMT,rf
2017-11-07,,,,,,,,
2017-11-08,,,-0.0018238567990372934,,-0.002944630257808445,0.005170226601615369,0.014727500374627445,
2017-11-09,,,0.001827189330721124,,-0.0012432969215492307,-0.00970396713731192,0.0004430281646305989,
2017-11-10,,,-0.0018238567990372934,,-0.00575690928542727,-0.004697835640008918,0.006866945459691465,
2017-11-13,,,-0.0030453155512022434,,0.0,0.003126348723577088,0.0007693677735465254,
2017-11-14,,,-0.013459212979291424,,-0.0015640656907590644,-0.0024146240885570824,0.001099289578056828,
2017-11-15,,,-0.0012449006952292008,,-0.010032111571183333,-0.005308066157882263,-0.013832452932412309,
2017-11-16,,,-0.003100150852701322,,-0.012845287936396721,0.00569791672922304,0.10898292738559201,
2017-11-17,,,0.016190152540090486,,0.005524340922554716,0.004239671622504382,-0.02158174735079821,
2017-11-20,,,-0.007962948941217962,,-0.002909062739533952,0.012816350509407437,0.00010284670641902416,
2017-11-21,,,0.00678658203050464,,-0.0038887037449728545,0.0022837859417417228,-0.00984853707129496,
2017-11-22,,,0.005527863591279214,,0.010898858185534932,-0.003467662291867013,-0.00113902495811391,
2017-11-24,,,0.0030471714709356945,,0.0046658287937266785,0.003927626342957957,0.0021778128177880607,
2017-11-27,,,-0.001822748654861539,,-0.009447975505997075,-0.005850240403193707,0.0,
2017-11-28,,,-0.004267121826328157,,0.03362916717672504,0.005624356585385515,0.0015528516832821193,
2017-11-29,,,-0.006724309608137191,,-0.0037542709272972985,-0.0017440478072903165,0.008163167732549548,
2017-11-30,,,-0.004314419678829506,,0.006750264007243878,0.0027796290386168376,-0.0033829063863085596,
2017-12-01,,,0.008653484652490606,,0.0007812992002014241,-0.006862530583016668,0.0012349413629448858,
2017-12-04,,,-0.012262380835055042,,-0.0003126689936581162,0.0060699171512859085,-0.0034931760291404546,
2017-12-05,,,0.0,,-0.0024942659422541036,-0.0041186142157185746,0.008452981708674479,
2017-12-06,,,-0.0167702816793307,,-0.007657297011622988,0.0025364206248508214,-0.005622241239528147,
2017-12-07,,,0.0031549640269050716,,-0.0033067376767387247,-0.004561512981955618,0.00010304760459622919,
